5.88045e-05 0
0.00305968 8
0.00599536 16
0.00880117 24
0.011583 32
0.0142664 40
0.0168513 48
0.0193377 56
0.0217256 64
0.0240149 72
0.0262057 80
0.0282981 88
0.0302921 96
0.0321877 104
0.0339852 112
0.0356846 120
0.037286 128
0.0387895 136
0.0401953 144
0.0415035 152
0.0427142 160
0.0438275 168
0.0448436 176
0.0457625 184
0.0465844 192
0.0473093 200
0.0479374 208
0.0484688 216
0.0489034 224
0.0492414 232
0.0494828 240
0.0496276 248
0.0496759 256
0.0496276 264
0.0494828 272
0.0492414 280
0.0489034 288
0.0484688 296
0.0479374 304
0.0473093 312
0.0465844 320
0.0457625 328
0.0448436 336
0.0438275 344
0.0427142 352
0.0415035 360
0.0401953 368
0.0387895 376
0.037286 384
0.0356846 392
0.0339852 400
0.0321877 408
0.0302921 416
0.0282981 424
0.0262057 432
0.0240149 440
0.0217256 448
0.0193377 456
0.0168513 464
0.0142664 472
0.011583 480
0.00880117 488
0.00587017 496
0.00293627 504
